证券代码,证券名称,省份,行业类别,2018净利润（万元）
430285.OC,锐创信通,北京,资本品,90.8685
430286.OC,东岩股份,上海,资本品,"1,947.91"
430287.OC,环宇畜牧,北京,资本品,"2,249.19"
430288.OC,威达宇电,北京,软件与服务,-185.91
430289.OC,华索科技,北京,资本品,"-1,356.91"
430290.OC,和隆优化,北京,软件与服务,"2,085.60"
430292.OC,威控科技,北京,软件与服务,-434.0376
430293.OC,奉天电子,上海,汽车与汽车零部件,"2,173.45"
430296.OC,平安力合,北京,技术硬件与设备,161.5639
430299.OC,天津宝恒,天津,资本品,274.35
430300.OC,辰光医疗,上海,医疗保健设备与服务,"1,443.22"
430301.OC,倚天股份,北京,资本品,748.3387
430303.OC,量化科技,北京,软件与服务,122.8409
430304.OC,每日视界,北京,媒体与娱乐,158.7661
430305.OC,维珍创意,北京,软件与服务,-741.5014
430306.OC,永铭医学,北京,制药、生物科技和生命科学,-277.6854
430311.OC,达美盛,北京,软件与服务,20.7541
430314.OC,新橡科技,北京,原材料,79.5976
430316.OC,巨灵信息,上海,软件与服务,27.1531
430317.OC,日升天信,北京,软件与服务,200.5273
430318.OC,四维传媒,上海,媒体与娱乐,"1,609.26"
430319.OC,欧萨咨询,上海,商业和专业服务,-410.7004
430320.OC,江扬环境,湖北,商业和专业服务,"-1,540.59"
430321.OC,博德石油,北京,能源,90.2214
430322.OC,智合新天,北京,媒体与娱乐,"-1,415.68"
430323.OC,天阶生物,北京,制药、生物科技和生命科学,"-1,979.22"
430324.OC,上海致远,上海,资本品,"1,063.78"
430325.OC,精英智通,北京,软件与服务,"1,518.79"
430326.OC,希文科技,湖北,资本品,454.7639
430327.OC,元工国际,北京,软件与服务,111.6644
430328.OC,北京希电,北京,技术硬件与设备,580.7229
430330.OC,捷世智通,北京,技术硬件与设备,"-4,581.12"
430331.OC,中环系统,天津,软件与服务,-821.2963
430333.OC,普康迪,北京,软件与服务,158.9916
430334.OC,科洋科技,上海,技术硬件与设备,-602.5464
430335.OC,华韩整形,江苏,医疗保健设备与服务,356.7514
430336.OC,皇冠幕墙,天津,资本品,112.5096
430337.OC,朗威视讯,北京,技术硬件与设备,-420.1225
430338.OC,银音科技,上海,软件与服务,802.4576
430339.OC,ST中搜,北京,软件与服务,-996.0973
430340.OC,伟钊科技,上海,技术硬件与设备,"1,417.59"
430341.OC,呈创科技,北京,软件与服务,"-4,516.21"
430343.OC,优网科技,上海,软件与服务,-400.1977
430344.OC,鼎晖科技,上海,半导体产品与设备,117.9021
430346.OC,哇棒传媒,西藏,媒体与娱乐,"4,644.78"
430347.OC,地大信息,湖北,软件与服务,"1,220.56"
430350.OC,万德智新,湖北,软件与服务,-878.4841
430351.OC,爱科凯能,北京,医疗保健设备与服务,-752.4543
430352.OC,慧网通达,北京,半导体产品与设备,"1,598.14"
430353.OC,百傲科技,上海,制药、生物科技和生命科学,"1,880.89"
430355.OC,ST沃特,上海,资本品,27.7985
430356.OC,雷腾软件,上海,软件与服务,"4,856.43"
430358.OC,基美影业,上海,媒体与娱乐,"-18,044.71"
430359.OC,同济医药,湖北,制药、生物科技和生命科学,"1,721.92"
430360.OC,竹邦能源,北京,商业和专业服务,"-2,579.86"
430361.OC,聚链集团,北京,软件与服务,-832.281
430362.OC,东电创新,北京,软件与服务,"-1,857.90"
430363.OC,上海上电,上海,资本品,"1,393.52"
430365.OC,赫宸能源,北京,资本品,27.6285
430366.OC,金天地,北京,媒体与娱乐,"-11,173.75"
430367.OC,力码科,北京,技术硬件与设备,97.376
430368.OC,明波通信,上海,半导体产品与设备,664.4781
430369.OC,威门药业,贵州,制药、生物科技和生命科学,"3,556.38"
430370.OC,谢裕大,安徽,食品、饮料与烟草,"1,341.84"
430372.OC,泰达新材,安徽,原材料,723.5543
430374.OC,英富森,北京,软件与服务,"1,476.62"
430375.OC,星立方,北京,软件与服务,"1,008.68"
430376.OC,东亚装饰,山东,资本品,"6,301.34"
430377.OC,海格物流,广东,运输,998.7413
430379.OC,昂盛智能,上海,技术硬件与设备,70.3879
430380.OC,成明节能,陕西,商业和专业服务,63.3796
430381.OC,金政科技,上海,资本品,-26.5268
430382.OC,元亨光电,广东,技术硬件与设备,"1,788.33"
430383.OC,红豆杉,江苏,原材料,——
430385.OC,中一检测,浙江,商业和专业服务,"2,271.19"
430386.OC,大禹电气,湖北,资本品,872.01
430387.OC,旌旗电子,陕西,技术硬件与设备,"1,135.13"
430388.OC,苏大明世,江苏,医疗保健设备与服务,544.2182
430390.OC,中科网络,湖北,软件与服务,89.1366
430391.OC,万特电气,河南,技术硬件与设备,966.0495
430392.OC,斯派克,湖南,原材料,"1,483.40"
430393.OC,三景科技,江苏,半导体产品与设备,187.7835
430394.OC,伯朗特,广东,技术硬件与设备,"5,043.10"
430395.OC,ST奥盖克,山东,原材料,"-3,643.97"
430396.OC,亿汇达,黑龙江,资本品,-683.1368
430397.OC,金帆股份,江苏,资本品,-84.7115
430398.OC,励图科技,安徽,软件与服务,7.1187
430401.OC,声威电声,江苏,耐用消费品与服装,-6.2117
430403.OC,英思科技,湖北,软件与服务,359.4588
430405.OC,星火环境,江苏,商业和专业服务,"3,043.65"
430406.OC,奥美格,广东,资本品,-72.5723
430407.OC,长合信息,上海,软件与服务,230.7057
430408.OC,帝信科技,辽宁,技术硬件与设备,-96.2373
430409.OC,天泉鑫膜,福建,资本品,-960.484
430410.OC,微纳颗粒,山东,技术硬件与设备,252.7805
430411.OC,中电方大,北京,软件与服务,-743.9176
430412.OC,晓沃环保,天津,商业和专业服务,-765.3389
430413.OC,沄辉科技,湖南,资本品,89.6333
430414.OC,三光科技,江苏,资本品,651.9074
430416.OC,地林伟业,北京,软件与服务,704.8283
430418.OC,苏轴股份,江苏,资本品,"6,309.02"
430420.OC,易城股份,上海,商业和专业服务,"-2,284.66"
430421.OC,华之邦,上海,资本品,400.0277
430422.OC,永继电气,上海,技术硬件与设备,-233.2502
430423.OC,宁变科技,浙江,资本品,261.5524
430424.OC,联合创业,北京,商业和专业服务,-628.0205
430425.OC,乐创技术,四川,资本品,687.1922
430426.OC,长城软件,四川,软件与服务,-756.962
430427.OC,飞田通信,上海,软件与服务,"-2,264.39"
430428.OC,陕西瑞科,陕西,原材料,"4,101.77"
430429.OC,星业科技,广东,原材料,29.4107
430430.OC,普滤得,江苏,商业和专业服务,-278.3676
430432.OC,方林科技,江苏,技术硬件与设备,"2,708.20"
430434.OC,万泉河,广东,软件与服务,48.0922
430435.OC,数聚股份,上海,软件与服务,410.304
430437.OC,食安科技,广东,商业和专业服务,"1,787.49"
430438.OC,星弧涂层,江苏,原材料,185.8072
430439.OC,亚杜股份,上海,原材料,-26.8898
430440.OC,松本绿色,广东,原材料,-326.9824
430441.OC,英极股份,辽宁,软件与服务,-285.7729
430442.OC,华昊电器,江苏,资本品,927.4601
430443.OC,将至发展,北京,媒体与娱乐,-914.1142
430446.OC,三灵科技,湖北,原材料,-45.4259
430447.OC,广信科技,湖南,资本品,"1,367.79"
430448.OC,和航科技,重庆,软件与服务,-296.4861
430449.OC,蓝泰源,广东,软件与服务,"1,025.24"
430451.OC,万人调查,广东,商业和专业服务,73.5232
430452.OC,汇龙科技,陕西,电信业务,"-4,879.60"
430453.OC,恒锐科技,辽宁,软件与服务,764.7185
430454.OC,百大能源,广东,商业和专业服务,"-2,475.11"
430455.OC,德联科技,浙江,软件与服务,"-1,767.12"
430457.OC,三网科技,浙江,软件与服务,"-2,294.07"
430458.OC,陆海科技,辽宁,软件与服务,903.0757
430459.OC,华艺园林,安徽,资本品,"7,617.21"
430460.OC,太湖股份,江苏,原材料,"1,545.45"
430461.OC,奥视威,江苏,技术硬件与设备,431.533
430462.OC,树业环保,广东,原材料,"5,676.17"
430463.OC,春茂股份,广西,资本品,"-4,175.31"
430464.OC,方迪科技,广东,软件与服务,188.6025
430465.OC,东方科技,贵州,软件与服务,-230.8329
430466.OC,华油股份,新疆,能源,"1,168.95"
430467.OC,深圳行健,广东,软件与服务,259.0983
430468.OC,锦棉种业,新疆,食品、饮料与烟草,162.9705
430470.OC,哲达科技,浙江,商业和专业服务,871.6736
430471.OC,豪威尔,河南,技术硬件与设备,-481.2403
430472.OC,安泰得,云南,软件与服务,-596.7695
430473.OC,网动股份,四川,技术硬件与设备,354.1752
430474.OC,恒裕灯饰,广东,耐用消费品与服装,-127.7351
430476.OC,海能仪器,山东,技术硬件与设备,"2,575.66"
430477.OC,盛力科技,安徽,资本品,-292.3327
430478.OC,峆一药业,安徽,制药、生物科技和生命科学,"1,435.88"
430479.OC,网阔信息,四川,技术硬件与设备,168.147
430480.OC,辰维科技,河南,软件与服务,504.6445
430482.OC,河源富马,广东,资本品,"1,679.98"
430483.OC,森鹰窗业,黑龙江,资本品,"7,008.41"
430484.OC,求实智能,福建,技术硬件与设备,——
430485.OC,旭建新材,江苏,原材料,"1,753.03"
430486.OC,普金科技,广东,软件与服务,13.29
430487.OC,佳信捷,广东,技术硬件与设备,"-3,429.73"
430488.OC,东创科技,浙江,软件与服务,"2,656.40"
430489.OC,佳先股份,安徽,原材料,"2,563.39"
430490.OC,旭龙物联,广东,技术硬件与设备,"-1,415.85"
430491.OC,蓝斯股份,福建,技术硬件与设备,66.576
430492.OC,老来寿,山东,医疗保健设备与服务,"4,003.70"
430493.OC,新成新材,山西,原材料,"12,565.80"
430494.OC,华博胜讯,安徽,软件与服务,738.3707
430495.OC,奥远电子,辽宁,软件与服务,618.0699
430496.OC,大正医疗,山东,医疗保健设备与服务,"1,116.00"
430497.OC,威硬工具,山东,资本品,"3,244.64"
430499.OC,中科股份,安徽,资本品,651.2195
430500.OC,亚奥科技,江苏,软件与服务,141.7578
430501.OC,超宇环保,福建,原材料,250.3903
430502.OC,万隆电气,山东,汽车与汽车零部件,160.4422
430503.OC,双环电感,安徽,资本品,63.3184
430504.OC,众智科技,河南,资本品,"3,180.47"
430505.OC,上陵牧业,宁夏,食品、饮料与烟草,"4,473.93"
430507.OC,ST胶脂,江苏,原材料,"-1,356.95"
430508.OC,中视文化,海南,媒体与娱乐,452.0884
430509.OC,银利智能,广东,技术硬件与设备,-22.058
430510.OC,丰光精密,山东,资本品,"2,205.62"
430511.OC,远大教科,山东,软件与服务,"1,106.43"
430513.OC,中科三耐,辽宁,资本品,"2,061.31"
430514.OC,速升装备,江苏,资本品,"1,352.50"
430515.OC,麟龙股份,辽宁,软件与服务,"7,640.58"
430516.OC,文达通,山东,房地产,-342.3569
430517.OC,新吉纳,山东,技术硬件与设备,-258.8267
430519.OC,博控科技,辽宁,技术硬件与设备,42.5886
430520.OC,世安科技,辽宁,商业和专业服务,-227.0771
430521.OC,康捷医疗,江苏,医疗保健设备与服务,257.6353
430523.OC,泰谷生态,湖南,原材料,"1,178.14"
430524.OC,量天科技,辽宁,软件与服务,43.4258
430525.OC,英诺尔,福建,半导体产品与设备,326.0664
430527.OC,申昱环保,四川,商业和专业服务,"-2,174.43"
430528.OC,欧丽信大,河南,技术硬件与设备,877.7684
430529.OC,恒成工具,四川,资本品,594.9269
430530.OC,云铜科技,云南,原材料,-746.0616
430532.OC,北鼎晶辉,广东,耐用消费品与服装,"6,801.65"
430534.OC,天涌科技,广西,商业和专业服务,430.5195
430535.OC,柳爱科技,广西,食品、饮料与烟草,-366.4534
430536.OC,万通新材,重庆,资本品,-56.5716
430537.OC,恒通股份,黑龙江,资本品,34.1171
430538.OC,中大科技,黑龙江,原材料,212.8444
430539.OC,扬子地板,安徽,原材料,"5,632.40"
430540.OC,五龙制动,河北,资本品,96.2141
430541.OC,翼兴节能,辽宁,资本品,-494.4872
430542.OC,利雅得,陕西,资本品,811.3421
430545.OC,星科智能,山东,技术硬件与设备,484.4727
430546.OC,乐彩科技,河南,技术硬件与设备,——
430547.OC,畅想高科,河南,软件与服务,"1,140.16"
430549.OC,天弘激光,江苏,资本品,"1,127.17"
430550.OC,沃克斯,重庆,资本品,475.1391
430552.OC,亚成微,陕西,技术硬件与设备,567.6162
430553.OC,海红技术,甘肃,技术硬件与设备,-573.0491
430555.OC,英派瑞,安徽,原材料,"1,655.51"
430556.OC,雅达股份,广东,技术硬件与设备,"2,204.98"
430558.OC,均信担保,黑龙江,综合金融,"3,107.71"
430559.OC,新华通,广东,软件与服务,-722.043
430560.OC,西部泰力,四川,资本品,4.1116
430561.OC,齐普光电,广东,技术硬件与设备,399.0978
430562.OC,安运科技,重庆,软件与服务,888.7191
430563.OC,ST华宇,江西,软件与服务,-310.8877
430564.OC,天润科技,陕西,软件与服务,"1,500.28"
430565.OC,莱力柏,辽宁,技术硬件与设备,36.7064
430566.OC,虹越花卉,浙江,食品、饮料与烟草,"3,554.43"
430567.OC,无锡海航,江苏,资本品,616.8691
430569.OC,ST安尔发,广东,软件与服务,405.0287
430570.OC,蓝星科技,湖北,技术硬件与设备,"4,361.08"
